id,last_update,length,weight,last_move_datetime,stage_of_life,species,gender,longitude,latitude,CHL,IOP,Temp
288265,2025-08-29T20:35:52.685699Z,6 ft 9 in.,,2015-10-04 10:25:21+00:00,Sub-Adult,Shortfin Mako Shark (Isurus oxyrinchus),Female,-61.69751,43.45859,0.49608662724494934,0.0383000373840332,18.016494750976562
288268,2025-08-29T20:32:54.634303Z,11 ft 4 in.,,2017-07-04 08:49:25+00:00,Sub-Adult,Tiger Shark (Galeocerdo cuvier),Female,-76.14437,34.98262,0.20905459612334162,0.019324212528101032,25.950240233217553
288270,2025-08-29T20:33:46.397588Z,8 ft 6 in.,,2018-07-04 10:39:25+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Female,-74.56759,37.15885,0.2975974977016449,0.03710007667541504,26.5407657623291
288272,2025-08-29T20:41:14.728063Z,6 ft 6 in.,,2015-05-11 12:24:48+00:00,Sub-Adult,Shortfin Mako Shark (Isurus oxyrinchus),Female,-74.75034,38.12627,0.17210377873668767,0.012549495538593594,23.29590790849463
288276,2025-08-29T20:34:05.433652Z,5 ft 6 in.,,2017-09-05 19:52:59+00:00,Young of the Year,White Shark (Carcharodon carcharias),Female,-72.92107,40.44801,0.867336101576461,0.048123236037283926,21.629007278099355
288278,2025-08-29T20:33:47.939863Z,5 ft 7 in.,,2017-04-21 09:46:45+00:00,Sub-Adult,Tiger Shark (Galeocerdo cuvier),Male,-79.87662,30.79276,0.12476183474063873,0.015400171279907227,25.986738204956055
288282,2025-08-29T20:37:40.603253Z,7 ft 9 in.,,2018-03-16 10:41:26+00:00,Adult,Shortfin Mako Shark (Isurus oxyrinchus),Male,-96.18787,27.65349,0.14477360417987614,0.010936502097995453,22.36131745722276
288285,2025-08-29T20:35:26.601469Z,5 ft 4 in.,,2017-09-25 21:30:30+00:00,Young of the Year,White Shark (Carcharodon carcharias),Female,-72.59474,40.75641,1.0470320695249833,0.05260611113712255,21.012490298260744
288288,2025-08-29T20:32:13.042964Z,12 ft 2 in.,,2015-07-05 19:15:43+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-71.66673,40.54395,0.2324769290470945,0.017011041727392644,22.775833593825357
288292,2025-08-29T20:33:09.666676Z,5 ft 4 in.,,2017-11-19 05:00:00+00:00,Young of the Year,White Shark (Carcharodon carcharias),Female,-74.72001,38.73001,1.2340586711919361,0.05736143216095296,18.893470762010157
288293,2025-08-29T20:35:54.546098Z,12 ft 4 in.,,2015-12-16 10:14:00+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-73.52621,36.1678,0.18179571628570557,0.014700174331665039,25.6790714263916
288300,2025-08-29T20:40:05.816340Z,14 ft 6 in.,,2017-03-15 11:31:34+00:00,Adult,White Shark (Carcharodon carcharias),Female,-77.18022,27.45371,0.16877402637317762,0.007902805287631482,23.378008382481113
288310,2025-08-29T20:33:14.212138Z,8 ft 6 in.,,2013-06-28 00:37:40+00:00,Adult,Bull Shark (Carcharhinus leucas),Female,-82.33105,26.66541,1.8377294315588177,0.036128853506463304,22.711094873908948
288317,2025-08-29T20:35:12.013628Z,10 ft 5 in.,,2016-04-05 17:16:09+00:00,Adult,Shortfin Mako Shark (Isurus oxyrinchus),Female,-96.76199,26.71391,0.26615322118834644,0.018232621200236745,24.59865657866378
288318,2025-08-29T20:36:10.412933Z,4 ft 10 in.,,2016-08-22 05:25:09+00:00,Young of the Year,White Shark (Carcharodon carcharias),Male,-71.918334961,40.909361267,0.26871965584589724,0.02018976104143569,23.132635618029674
288321,2025-08-29T20:34:46.759531Z,7 ft 8 in.,,2013-07-30 16:31:33+00:00,Adult,Bull Shark (Carcharhinus leucas),Female,-79.84442,26.88904,1.8380260476645276,0.03616121201665342,22.701697710907638
